Japanese,English
いつか,"five days, 5th of the month"
どうして,why
みえる,be visible
あに,older brother
すっぱい,sour
ちいさい,small
ことば,"word, language"
おいしい,tasty
よぶ,"call, name"
むね,chest
こし,"hip, lower back"
のせる,"place, put on"
ひくい,"low, short"
いちばん,most
せ,"height, stature"
えん,circle
おぼえる,"memorize, learn"
かたかな,katakana
ひらがな,hiragana
かなしい,sad
うつくしい,beautiful
たべもの,food
いう,"say, tell"
かれ,"he, one's boyfriend"
じゅぎょう,"class, lesson"
おかあさん,mother
てつだう,"help, assist"
とぶ,fly
うたう,sing
しぬ,die
だいすき,love
こども,"child, kid"
せまい,"narrow, restricted"
さわる,"touch, feel"
きらい,dislike
なのか,"seven days, 7th of the month"
ある,"exist, possess"
あびる,take (a shower)
いきる,live (one's life)
ながい,long
かみのけ,hair
はな,nose
うで,arm
よっつ,four (things)
みんな,"all, everybody"
わらう,"laugh, smile"
かみ,paper
した,"under, below"
いれる,put in
よう,"way, like, kind"
かける,"hang, put on"
かた,shoulder
ぼく,I (young male)
くもる,become cloudy
だめ,no good
のぼる,go up
おちる,"fall, sink"
からだ,"body, health"
だいじょうぶ,"alright, OK"
びょうき,illness
ひゃく,hundred
かぜ,cold (illness)
いつつ,five (things)
かお,face
かるい,"light, light weight"
ちゃいろ,light brown
ほしい,"want, desire"
まん,ten thousand
きれい,beautiful
かわく,be thirsty
うれしい,"happy, glad"
かんじる,"feel, sense"
なる,become
りんご,apple
ほとんど,"almost, hardly"
じゅうぶん,"full, plentiful"
ぶん,"amount, part, share"
スポーツ,sport
いままで,"until now, so far"
ごみ,"rubbish, trash"
なぜ,"why, for what reason"
いつでも,"always, at all times"
バス,bus
ピクニック,picnic
あちら,way over there
しょうねん,boy
きつい,"tight, difficult"
キャッシュカード,cash card
あんなに,"that, so"
カップ,cup
ノック,knock
クリーニング,"cleaning, laundry"
あなた,you
ようこそ,welcome
しばらく,"awhile, long time, for the time being"
でぐち,"exit, exit ramp"
だいぶ,"very, greatly"
ハンカチ,handkerchief
せんしゅう,last week
おとこのこ,"boy, baby boy"
おしゃれ,"dressing up smartly, trendy"
カレーライス,curried rice
いたずら,"mischief, prank"
いし,"stone, small rock"
はやし,"woods, grove"
ぶどう,grapes
オレンジ,orange
トマト,tomato
アナウンサー,"news reader, announcer"
ボーイフレンド,boyfriend
ぺこぺこ,"hungry, starving"
シャープペンシル,mechanical pencil
てんぷら,"tempura, Japanese deep-fried breaded food"
キャンプ,"camping, camp"
いえ,"house, home"
くうき,"air, atmosphere"
にんき,"popularity, temperament of the people, business conditions"
やま,mountain
あおい,blue
はれ,"fine weather, clear sky"
また,"again, also, or"
ハイキング,hiking
くらい,"dark, dreary, shadowy"
ひがし,"east, eastern"
きた,north
むこう,"the other side, the other party, opponent"
むく,"turn, face, look"
いりぐち,entrance
パーティー,party
ページ,page
ノート,"note book, laptop"
ふすま,"sliding door, fusuma"
スーツ,suit
はじめ,beginning
あさって,day after tomorrow
はんとし,half a year
はんつき,half a month
カーテン,curtain
まいあさ,every morning
サンドイッチ,sandwich
こんや,"tonight, this evening"
ピンポン,"table tennis, ping pong"
クリスマス,Christmas
バナナ,banana
バター,butter
サラダ,salad
ラーメン,ramen (Chinese noodles)
うどん,"noodles, Japanese wheat noodles"
スプーン,spoon
そば,"buckwheat noodles, soba"
ごちそうする,treat
ゆうしょく,supper
ワイン,wine
コーヒー,coffee
パン,bread
ハンバーガー,hamburger
おかず,side dish
たりる,"suffice, serve, be satisfied"
ラケット,racket
インク,ink
テレビ,television
さいしょ,"first, outset"
はっきり,clearly
ニュース,news
きゅうじつ,"holiday, day off"
ドラマ,"drama, theater, soap opera"
パスポート,passport
はなみ,flower viewing
いいかた,"way of speaking, expression"
ゆっくり,slowly
テキスト,"textbook, text, text file"
かたる,"tell, talk"
こ,"child, kid"
えいご,English
みぎて,right hand
じ,"character, letter"
さめる,"awake, wake up"
さます,"awaken, wake up"
いずれ,"eventually, sometime"
おじさん,uncle
はなしあう,"discuss, talk over"
おこなう,"do, carry out"
むかう,"face, confront, head toward"
あした,tomorrow
しかた,"way, method"
やすみ,"rest, holiday, absence"
かえり,"return, going home"
だいじ,importance
はんにち,half a day
まま,"as is, still (in the current state)"
でんわ,"telephone, phone call"
でんき,"electricity, electric light"
よなか,"midnight, dead of night"
あく,open
ホーム,platform
のぼり,"going up, ascent"
えきいん,station employee
いっぽう,one way
とおり,"passage, street"
かよう,"go to and from, frequent a place"
ゼロ,zero
くるま,car
とおる,"pass, take, go through"
どうろ,"road, street"
ちず,"map, atlas"
なお,"still, in addition"
つもり,"intention, purpose"
とめる,"stop, turn off"
とまる,"come to a stop, cease"
やむ,"stop, abate"
もり,"thick woods, forest"
ほどう,"sidewalk, footpath"
かわ,"river, stream"
こんど,"this time, next time"
そんなに,"that, so"
ガソリンスタンド,gas station
しゃちょう,president (of a company)
ながさ,length
うみ,"sea, ocean"
まったく,"entirely, truly, indeed"
しち,seven
じんこう,population
おく,hundred million
くろ,black
ミルク,"milk, baby milk"
ぎんこう,bank
ぎゅうにく,beef
グラム,gram
さかな,fish
やさい,vegetable
ほんや,"bookstore, bookseller"
やおや,"vegetable store, greengrocer"
そっち,"there, thou"
そばや,soba restaurant
たばこや,"cigarette shop, tobacco store"
つく,"be on, switched on"
ちゃ,tea (plain form)
おちゃ,tea (polite)
ちゃわん,"tea cup, rice bowl"
しゅうまつ,weekend
レストラン,restaurant
むり,"unreasonable, impossible, forced"
なくなる,"disappear, run short, get lost"
さくぶん,"composition, essay"
ジャム,jam
ジャガイモ,potato
ストーブ,"paraffin heater, stove"
こうつうひ,"traveling expense, transportation cost"
ひ,fire
うりば,"sales floor, department"
サービス,"service, on the house"
なんど,"how many degrees, how many times"
しょうひん,"goods, commodities"
あがる,"go up, rise"
ビル,building
エスカレーター,escalator
かいだん,"steps, flight of stairs"
おりる,"go down, come down"
ねだん,price
ちょうど,"just, as if"
かかく,"price, cost"
さいご,"last, final"
うれる,"sell, be in demand"
なつやすみ,summer vacation
プール,pool
ひ,"sun, sunlight, day"
スキー,"ski, skiing"
しき,the four seasons
クーラー,"air conditioning, cooler"
アイス,"popsicle, ice lolly"
そと,"outside, open air"
ねつ,"heat, fever"
さがる,"come down, hang down, fall"
ウール,wool
あたためる,"warm, warm up, heat up"
あたたまる,get warm
たっする,"attain, reach"
おんど,temperature
きおん,temperature
たいふう,typhoon
じじょう,"circumstances, conditions"
コンピューター,computer
コート,court
しんねん,New Year
てら,buddhist temple
カセットテープ,cassette tape
だい,"stand, platform"
すこしも,at all
あんしん,"peace of mind, relief"
ハンドバッグ,handbag
ライター,lighter
かんがえ,"thought, view, idea"
かいけつ,"solution, settlement"
つまり,"in short, basically"
おんなのこ,"girl, daughter"
かのう,"possible, potential"
ふべん,inconvenient
ゆうびんやさん,mailman
あっち,"other side, there"
かじ,fire
こうばん,police box
ばんごう,"number, serial number"
きんじょ,neighborhood
じゅうしょ,"one's dwelling, address"
ぶらぶら,"wander aimlessly, hang about"
べんじょ,"lavatory, bathroom"
ボールペン,ballpoint pen
みょうじ,"surname, family name"
ろーまじ,Roman alphabet
しめい,name
がいじん,"foreigner, alien"
みなみ,south
はじめて,for the first time
すいどう,"water service, channel"
とし,"cities, urban community"
つごう,circumstances
あさごはん,breakfast
しんぱい,"anxiety, worry, good offices"
みおくり,seeing someone off
コース,"course, route"
メモ,"memorandum, memo pad"
とれる,"come off, be removed"
ティッシュ,tissue
いつごろ,"about when, about what time"
かきとる,"write down, note down"
なかなか,"not at all, hardly"
ゆうびん,"mail service, postal matter"
そのまま,"like that, unchanged"
もつ,"maintain, last long"
バッグ,bag
マッチ,"match, matchbox"
ビデオテープ,videotape
もっていく,take
もってくる,bring
ソファー,"sofa, sofa bed"
なげる,"throw, abandon"
じょせい,"woman, female"
せいさん,production
ゆうめい,famous
せいと,"pupil, student"
グループ,group
らいげつ,next month
けんがく,"observation tour, study tour, field trip"
つうがく,"attending school, going to school"
ビザ,visa
か,"permitted, OK"
しょうがっこう,elementary school
クラス,class
こうちょう,"principal, schoolmaster"
きゅうこう,temporary closure of school
わすれもの,"something left behind, lost item"
ばしょ,"place, space"
よみかた,"way of reading, reading"
そだつ,"be brought up, grow"
ソフト,"software, programme"
かぜ,wind
ウィスキー,whisky
とりひき,"transaction, dealings"
ボタン,button
おさえる,hold down
ピアノ,piano
なれる,grow accustomed to
しゅうかん,"custom, habit"
なん,"what, which"
もんだい,"problem, question"
さいきん,"late, recent"
しゃかい,society
ぶぶん,"part, section"
これら,these
かんたん,"simple, easy"
ふくざつ,"complicated, intricate"
にんげん,"human being, people"
がいこくご,foreign language
かぞえる,"count, calculate"
まわす,"turn, rotate"
たんとう,person in charge
ほんとう,"truth, reality"
ほうほう,"method, procedure"
ほうりつ,law
けいけん,experience
たつ,"pass, elapse"
けいざい,"economy, economics"
こうぎょう,"industry, manufacturing industry"
べんり,"convenience, handiness"
せいぞう,"production, manufacture"
ひつよう,"need, necessity"
さぎょう,"work, operation"
きょうりょく,"cooperation, collaboration"
シャツ,shirt
おもさ,weight
わりざん,division
のこる,"remain, be left over"
ペン,pen
かしだす,"lend, lend out"
けしごむ,eraser
こむ・こむ,"be crowded, be congested"
きたい,"expectation, anticipation"
きかん,"term, period"
じき,"time, season"
かぎる,be limited to
いそぐ,"hurry, hasten"
きゅうに,"suddenly, unexpectedly"
きゅうこう,"express train, going in a hurry"
おもいだす,"recollect, recall"
きれる,"run out, expire, can cut"
ゆうびんきょく,post office
ナイフ,knife
きって,postage stamp
チーズ,cheese
うりきれ,"sellout, sold out"
きっぷ,ticket
にゅうじょうけん,entrance ticket
やちん,rent
じだい,"age, antiquity"
ていきけん,commuter's pass
よてい,"schedule, plan"
てんきよほう,weather forecast
カレンダー,calendar
よしゅう,"preparation, previewing (a lesson)"
く,nine
よやく,"reservation, subscription"
チャンネル,channel
へんか,change
きょうか,strengthening
ぶんか,culture
ふえる,"increase, accrue"
がいこくじん,foreigner
へる,"decrease, diminish"
へらす,"decrease, reduce"
あめ,rain
ゆき,"snow, snowfall"
もし,"if, in case of"
エレベーター,elevator
きっと,"surely, certainly"
ざあざあ,"heavily, pouring"
ホテル,hotel
かならず,"without fail, certainly"
ゆうがた,evening
コート,"coat, jacket"
パジャマ,pajamas
そちら,"there, that way"
レインコート,raincoat
うわぎ,"coat, jacket"
やくにたつ,"be useful, be helpful"
せき,"seat, one's place"
あく,become available or vacant
かえる,"substitute, use in place of"
ぜんこく,the whole country
おりる,"get off, land"
じなん,second son
じじょ,second daughter
かた,person　（polite form)
はこぶ,"carry, transport"
ウェーター,waiter
うつ,"hit, strike"
トラック,"truck, lorry"
どうぶつ,animal
はやく,"early, soon"
そくたつ,"special delivery, express mail"
かいし,beginning
せいど,"system, organization"
かぶ,"stocks, shares"
テスト,"test, exam"
そろそろ,"soon, quietly"
しゃどう,"road, roadway"
はじめに,"in the beginning, early in"
ほぼ,"almost, nearly"
やっと,"at last, finally"
げんざい,"the present, present time"
じっし,"enforcement, implementation"
じじつ,"fact, truth"
つうか,"passing, passage"
すぎる,"pass by, exceed"
かこ,the past
はっせい,"occurrence, happening"
しゅっぱつ,"departure, starting"
はっしゃ,"start, leave"
くだり,"downhill, going down"
おもて,"front side, face, outside"
ひょう,"table, list"
てがみ,letter
ポスト,"post box, letter box"
へんじ,"answer, reply"
さくひん,"work of art, piece"
ざっし,"magazine, journal"
ばいてん,"booth, store"
おと,"sound, noise"
こうじ,construction
さげる,"lower, turn down"
びっくりする,surprised
うるさい,"noisy, annoying, pesky"
へん,"strange, weird, funny"
おと,"sound, speech sound, Chinese pronunciation of a character"
せいかつ,"life, living"
おんがく,music
だんだん,"gradually, one after another"
くすり,"drug, remedy, chemical"
うた,song
かしゅ,singer
へた,not good at
ほしがる,"desire, wish for, covet"
いちぶ,part
え,"picture, painting, drawing"
ひとりで,by oneself
はなし,"talk, story"
おもしろい,"interesting, amusing"
ぜんぜん,"wholly, at all"
こんなに,"this, so, such"
うつる,"be taken, be seen through"
しゃしん,photograph
まんなか,"center, middle"
まっしろ,pure-white
まっくら,pitch-dark
まっくろ,"deep-black, jet-black"
まっさお,"deep-blue, pale (skin)"
そら,"sky, weather"
しなもの,"article, thing"
あお,"blue, green, green light"
どっち,which
しろ,white
おおがた,"large, large scale"
じゅうよう,"important, essential"
しゅるい,"kind, species"
なおす,"repair, cure, alter"
まっすぐ,"dead straight, honestly"
うりきれる,"be sold out, go out of stock"
さんかく,triangle
しかく,"square, quadrilateral"
しかくい,"square, four-sided"
きょく,"song, melody, tune"
まげる,"bend, curve"
こうさてん,"crossing, intersection"
かど,"corner, edge, angle"
よつかど,"street corner, intersection"
まがりかど,corner
けいさん,calculation
ねんど,"year, school year"
まちがい,"mistake, error"
まちがえる,"mistake, confuse"
まちがう,"be mistaken, be incorrect"
せかい,world
おおく,"much, largely"
まいとし,every year
フィルム,film
おもいで,"recollections, memory"
おととし,the year before last
やっぱり,"just as I thought, after all"
りよう,"utilization, usage"
かえす,"return, repay"
がらがら,empty
りょかん,Japanese inn
とめる,"lodge, give shelter"
トランプ,"(a pack of) cards, (playing) cards"
おばさん,aunt
ドル,dollar
ようふく,clothes
きょうしつ,"classroom, class"
としょしつ,library
はんばい,"sale, selling"
まど,"window, windowpane"
とち,land
とどく,"reach, be received"
ずっと,"all day, from start to finish"
うんてん,drive
サラリーマン,"office worker, salaried worker, company employee"
ネクタイ,"tie, necktie"
ひげ,"moustache, beard"
あくび,yawn
ふどうさんや,"real estate agent, realtor"
がいこく,foreign country
かいもの,"shopping, purchase"
だいどころ,kitchen
まいしゅう,every week
よみ,"reading, judgment, foresight"
スープ,"soup, broth"
タイプライター,typewriter
レコード,record
にている,"look like, resemble"
どんどん,knock
しんせつ,"kind, friendly"
てんいん,"clerk, salesperson"
かいわ,conversation
ふしんせつ,"unkind, inattentive"
ひとびと,people
かぞく,"family, household"
ばんざい,Banzai! Hurrah! Long live...!
ちょうじょ,eldest daughter
ねえさん,"older sister, girl, miss"
こうこう,high school
にゅうがく,"enter a school, matriculate"
おしゃべり,"chatter, talkative"
チョコレート,chocolate
はたち,20 years old
すうがく,mathematics
ゴルフ,golf
アルバイト,"casual job, student job, part-time job"
バイク,"motorbike, motor cycle"
コーラ,"cola, coke"
にかい,"second floor, upstairs"
にいさん,older brother
アイスクリーム,ice cream
あんぜん,"safety, security"
ごうかく,"passing an examination, eligibility"
れんしゅう,"practice, training"
ピンク,pink
ひきざん,subtraction
たしざん,addition
ちゅうがく,junior high school
ちゅうがくせい,junior high school student
ちゅうがっこう,junior high school
しょうがくせい,"schoolchildren, schoolboy"
きゃく,"visitor, customer"
はっぴょう,announcement
わかもの,"young person, youth"
きぎょう,"corporation, business"
けいかく,"plan, project"
ロボット,robot
パソコン,personal computer
あきらか,"clear, obvious"
こうじょう,"factory, plant"
だいひょう,representative
のうりょく,"ability, capacity"
うんどう,"movement, exercise"
ようきゅう,"requirement, demand"
じっこう,"practice, execution"
まとめる,"gather together, put in order"
のこす,"leave, reserve, leave undone"
げんご,"language, speech"
きょういく,education
どうよう,similar
とうじ,"at that time, at the present time"
かいがい,"overseas, abroad"
えいが,movie
きこく,return to one's country
おくれる,be late
うつる,"move, shift"
りょこう,"travel, trip"
マンション,"apartment, apartment block, condominium"
そだてる,"bring up, breed"
あかるい,"bright, cheerful"
かりる,borrow
たてる,"stand, set up, establish"
アパート,"apartment, flat, apartment house"
ちょうなん,eldest son
くろい,"black, dark"
うけとる,"receive, understand"
わたす,"carry across, hand over"
グラフ,"chart, graph"
ラジオ,radio
きょうだい,sibling
うんてんしゅ,driver
みおくる,see (someone) off
おかしい,"strange, peculiar, suspicious"
にもつ,"baggage, load"
かす,"lend, lease"
にんぎょう,doll
ぎん,silver
とどける,"deliver, give notice"
かねもち,wealthy person
ボール,ball
オートバイ,"motorbike, motorcycle"
ならう,"learn, practice"
ひだりて,left hand
きもの,"clothes, kimono"
えいがかん,movie theater
スイッチ,switch
テニス,tennis
おかしい,"funny, amusing, comical"
まじめ,"serious, sober, earnest"
もうしこむ,"apply, make a proposal"
バイオリン,violin
はいたつ,delivery
アルバム,album
スカート,skirt
もの,"thing, object"
このあいだ,"the other day, recently"
ダンス,"dance, dancing"
パチンコ,pachinko (vertical pinball)
つまらない,"boring, dull"
かきかた,"how to write, way of writing"
スチュワーデス,flight attendant
ワイシャツ,"(business) shirt, (white) shirt"
ブラウス,blouse
ステレオ,stereo
はやくち,fast talking
いろいろ,in various ways
おろす,"unload, set down"
にこにこ,smile
アイロン,iron
イヤリング,earrings
ガールフレンド,girlfriend
どきどき,"feel excited, feel nervous"
おととい,day before yesterday
ぺらぺら,fluently
エアメール,airmail
やけど,burn
おとなしい,"gentle, quiet, subdued"
あがる,"get nervous, get stage fright"
からて,"karate, empty hand"
きん,"gold, sum of money, Friday"
としうえ,"older, senior"
ひるすぎ,early afternoon
けつごう,"combination, joining"
わたしたち,we
きょうかい,church
せんげつ,last month
けっか,"result, outcome"
くだもの,fruit
かだい,"task, problem"
か,"section, division, lesson"
ひょうげん,expression
たちば,"standpoint, position"
おもちゃ,"toy, plaything"
のりもの,"vehicle, conveyance"
じしゅう,"self-study, self-teaching"
りゆう,"reason, cause"
じゆう,freedom
かわる,change
しんじる,"believe, trust, have faith in"
しんごう,"signal, traffic light"
あか,"red, crimson"
たのむ,"ask, request"
しみん,"citizens, townsmen"
けってい,"decision, settlement"
ほうこく,report
ぎいん,legislator
かいぎ,"conference, meeting"
はつげん,"utterance, speech"
しゅっせき,"attendance, presence"
コピー,"copy, photocopy"
くばる,"hand out, distribute, allot"
ひるまえ,"in the morning, before noon"
かいはつ,development
たいりつ,"opposition, antagonism"
みかた,"view, way of looking"
はんたい,"oppose, object"
たいする,"face, be in response to"
よく,well
うつす,"copy, photograph"
こたえ,"answer, solution"
とくに,"specially, particularly"
とっきゅう,super-express
とくべつ,"special, extraordinary"
べつべつ,separately
わかれる,"separate, part from"
いっぱん,"general, common"
もくてき,"object, purpose"
さんぎょう,industry
ふつう,"normal, regular"
ならぶ,"line up, be parallel"
ならべる,"line up, display, set up"
ごちそう,"feast, treat"
へいわ,"peace, harmony"
びょういん,hospital
にゅういん,be hospitalized
おいしゃさん,doctor
はぶらし,toothbrush
きょうかしょ,"textbook, schoolbook"
なくなる,"die, pass away"
ひるま,"daytime, day"
つかれる,"get tired, become fatigued"
ふらふら,weak
きんえん,"no smoking, giving up smoking"
よっぱらい,"drunkard, boozer"
よっぱらう,get drunk
もう,"another, again"
コップ,"cup, glass"
あぶない,"dangerous, uncertain"
プラスチック,plastic
ちゅうもく,"attention, notice"
ちゅうもん,"order, request"
いみ,"meaning, significance"
いけん,opinion
こじん,individual
ちゅうい,"attention, care, watch out"
ようい,"prepare, ready oneself"
わかれる,"be divided, disperse, branch off"
かくにん,confirmation
きのう,"function, feature"
ざいりょう,"material, factor"
うごかす,"move, operate"
もとづく,be based on
きほん,"basis, foundation"
じゅんび,"provide for, prepare for"
しせつ,"facilities, institution"
せつめい,"explanation, description"
こうかい,opening (to the public)
こうえん,"park, public garden"
どうぶつえん,zoo
チケット,ticket
デート,date
ひるやすみ,"noon recess, lunch break"
まつり,festival
こくさい,international
いじょう,"not less than, more than"
ひこうじょう,"airport, airfield"
ジェットき,jet airplane
こうくうびん,airmail
さいだい,"biggest, largest"
せっけい,"design, plan"
とおく,great distance
くだる,"go down, go down or away from a central place"
ふなびん,"surface mail, shipping service"
ふね,"ship, boat, vessel"
くうこう,airport
みなと,"port, harbor"
しま,"island, isle"
かんせい,"completion, finish"
ぜんたい,"whole, total"
へいせい,Heisei era
せいこう,success
げんいん,"cause, origin"
とうし,investment
いってい,"constant, standard"
こんご,"after this, in the future"
ねがう,"wish, ask a favor, apply for"
ちょくせつ,directly
カード,"card, credit card"
よろしく,"properly, one's regards"
せいかく,"accurate, precise"
ただしい,"correct, righteous, lawful"
あそび,"play, amusement"
しょうじき,"honest, upright"
ことなる,differ
つうじょう,"common, ordinary"
ぎじゅつ,"skill, technology"
ひじょうに,"very, extremely"
きょうちょう,"emphasis, stress"
よい,"good, suitable, preferable"
きせつ,season
ちょうさ,"investigation, inquiry"
ていきょう,"offer, provide"
ていあん,"proposition, proposal"
あんない,"guide, inform"
つれていく,take (a person) along
つれてくる,bring (a person)
つづける,"continue, keep up"
さっき,"some time ago, only a moment ago"
らいしゅう,next week
うごき,"movement, motion"
そうだん,"consultation, advice"
いしゃ,doctor
きしゃ,"journalist, reporter"
まいばん,every evening
きろく,"record, documentation"
テープ,"tape, cassette"
かんする,"concern, relate to"
かんれん,"connection, relation"
じょうきょう,"state of affairs, conditions"
じょうたい,"state, appearance"
なおる,"be cured, get well"
せいじ,politics
せいふ,"government, administration"
とう,political party
せいさく,"policy, political measures"
えらぶ,"choose, elect"
せんしゅ,representative athlete
かれら,they
サッカー,"soccer, football"
バスケットボール,basketball
せんきょ,election
こうほ,"candidacy, candidate"
しゅしょう,prime minister
しゅと,capital
マフラー,"scarf, muffler"
あたる,"hit, strike"
けさ,this morning
まっか,deep red
タオル,towel
かいかく,reform
かわ,leather
ばんぐみ,program
ろくおん,sound recording
そしき,"organization, constitution, tissue"
すすむ,"advance, move forward"
かがく,science
しんがく,entering a school of higher grade
だいがくいん,graduate school
かくだい,"magnification, enlargement"
しらべる,"investigate, check"
せきにん,"responsibility, liability"
